alignment	dist	ecfp4	daylight		mces
Cc1ccc2nc(NN=Cc3ccc(-c4ccccc4[N+](=O)[O-])o3)sc2c1 ZINC000254291878	9	0.35106382978723405	0.4176470588235294		29
Cc1ccc2nc(N\N=C/c3ccc(-c4ccccc4[N+](=O)[O-])o3)sc2c1 ZINC000098086927	9	0.35106382978723405	0.4176470588235294		29
Cc1ccc(-c2ccc(C=NNc3nc4ccccc4s3)o2)c([N+](=O)[O-])c1 ZINC000254645569	9	0.3804347826086957	0.4230769230769231		29
Cc1ccc(-c2ccc(\C=N\Nc3nc4ccccc4s3)o2)c([N+](=O)[O-])c1 ZINC000005542956	9	0.3804347826086957	0.4230769230769231		29
COc1ccc(-c2ccc(CNCc3nc(C)c(C(=O)O)s3)o2)c([N+](=O)[O-])c1 ZINC000426680410	9	0.33663366336633666	0.3692722371967655		29
O=C(O)c1cccc(NN=Cc2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)c1 ZINC001776036763	9	0.5119047619047619	0.506896551724138		28
O=C(O)c1ccc(NN=Cc2ccc(-c3ccccc3[N+](=O)[O-])o2)cc1F ZINC001776073781	9	0.38461538461538464	0.4612794612794613		28
CN(C)CCCNC(=S)NN=Cc1ccc(-c2ccccc2[N+](=O)[O-])o1 ZINC000731930594	9	0.3333333333333333	0.4440677966101695		27
O=[N+]([O-])c1ccccc1-c2ccc(C=NNC3=N[C@@H]4CCCC[C@@H]4N3)o2 ZINC000753935363	9	0.358695652173913	0.44025157232704404		28
O=[N+]([O-])c1ccccc1-c2ccc(C=NNC3=N[C@@H]4CCCC[C@H]4N3)o2 ZINC000753935368	9	0.358695652173913	0.44025157232704404		28
O=[N+]([O-])c1ccccc1-c2ccc(C=NNC3=N[C@H]4CCCC[C@@H]4N3)o2 ZINC000753935366	9	0.358695652173913	0.44025157232704404		28
O=[N+]([O-])c1ccccc1-c2ccc(\C=N/Nc3nc4ccccc4[nH]3)o2 ZINC000016450619	9	0.34831460674157305	0.44966442953020136		28
O=[N+]([O-])c1ccccc1-c2ccc(\C=N\Nc3nc4ccccc4[nH]3)o2 ZINC000005455327	9	0.34831460674157305	0.44966442953020136		28
Cn1c(N\N=C\c2ccc(-c3ccc(Cl)cc3[N+](=O)[O-])o2)nc4ccccc41 ZINC000007343369	9	0.4444444444444444	0.4838709677419355		29
O=[N+]([O-])c1cc(Cl)ccc1-c2ccc(CNc3ccn(CCO)n3)o2 ZINC001322604297	9	0.3978494623655914	0.40425531914893614		27
O=C(O)c1coc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)c1 ZINC000426713443	9	0.32608695652173914	0.39144736842105265		27
O=C(O)c1csc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)n1 ZINC000426639083	9	0.3404255319148936	0.3764705882352941		27
O=C(O)Cc1ccc(CNCc2ccc(-c3ccccc3[N+](=O)[O-])o2)cc1 ZINC001777650032	9	0.375	0.410958904109589		28
O=[N+]([O-])c1cc(Br)ccc1-c2ccc(\C=N/Nc3nc4ccccc4[nH]3)o2 ZINC000408726731	9	0.3548387096774194	0.44516129032258067		29
