PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES_1460,Fit_CurveClass_1460,Max_Response_1460,Potency_1460
86261379,CCOC1=CC=C(C=C1)C2=CSC(=N2)/C(=C\C3=CC(=C(C=C3)O)[N+](=O)[O-])/C#N,-1.1,-98.8557,1.2589
794011,C1=CC=C2C(=C1)C=CC(=C2O)C=NC3=CC=CC4=NSN=C43,-1.1,-98.8068,2.2387
949131,C1CN(CCC1C(=O)O)C2=C(C(=O)C3=CC=CC=C3C2=O)Cl,-1.1,-98.723,4.4668
371271,CC1=C2C3=C(C4=C(C=C3)C(=O)C=CC4=O)N(C2=CC=C1)C,-1.1,-98.7045,3.5481
4282864,CC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=NC3=C(C4=C(C=C3)C(=CC(=C4N)S(=O)(=O)[O-])S(=O)(=O)[O-])O)C)N=NC5=C(C6=C(C=C5)C(=CC(=C6N)S(=O)(=O)[O-])S(=O)(=O)[O-])O,-1.1,-98.6891,1.4125
10205,CC1=CC(=O)C2=C(C1=O)C=CC=C2O,-1.1,-98.6723,2.5119
653295,C1C2C=CC1C3C2C(=O)N(C3=O)CNC4=CC=C(C=C4)O,-1.1,-98.5987,3.1623
2190927,CN(C)C1=CC=C(C=C1)N/C=C/C(=O)C2=CC=C(C=C2)F,-1.1,-98.4494,1.9953
752424,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N=C3C=CC(=O)C4=CC=CC=C34,-1.1,-98.4167,2.2387
2788822,CC1=CC=C(C=C1)C(=O)NNC2=C3C=CC=CC3=NC4=CC=CC=C42,-1.1,-98.326,3.1623
4917903,CC1=NN(C2=C1C(=O)C(CC2)Br)C3=CC=CC=N3,-1.1,-98.2685,2.8184
2802105,CC1=CC(=NC2=C(N(N(C2=O)C3=CC=CC=C3)C)C)C=CC1=O,-1.1,-98.2082,3.1623
16760039,COC1=C(C=C(C=C1)/C=C/C(=O)CC(=O)/C=C/C2=C(C(=CC=C2)O)OC)O,-1.1,-98.1947,1.2589
921948,CN(C)N=NC1=CC2=C(C=C1)N=CN2,-1.1,-98.1666,4.4668
